,Origin,Destination
1125,Pennsylvania,Philadelphia
1131,England,Philadelphia
1133,Maine,Philadelphia
1138,Maine,Philadelphia
1139,England,Philadelphia
1140,Philadelphia,Maine
1143,Maine,Philadelphia
1144,Washington (D.C.),Philadelphia
1145,Philadelphia,Washington (D.C.)
1146,Pennsylvania,England
1147,Philadelphia,Pennsylvania
1148,Philadelphia,Pennsylvania
1149,Washington (D.C.),Philadelphia
1151,Philadelphia,Philadelphia
1152,Philadelphia,Philadelphia
1154,New Jersey,Philadelphia
1155,Philadelphia,Philadelphia
1156,Philadelphia,New Jersey
1158,Virginia,Philadelphia
1160,Virginia,Philadelphia
1161,Virginia,Philadelphia
1162,Virginia,Philadelphia
1163,Virginia,Philadelphia
1164,Virginia,Philadelphia
1165,Virginia,Philadelphia
1166,Virginia,Philadelphia
1167,Philadelphia,Virginia
1169,Philadelphia,Virginia
1170,Virginia,Philadelphia
1171,Philadelphia,Philadelphia
1174,Philadelphia,Philadelphia
1175,Washington (D.C.),Philadelphia
1177,England,Philadelphia
1179,Pennsylvania,Philadelphia
1181,England,Philadelphia
1182,England,Philadelphia
1183,Philadelphia,England
1188,Philadelphia,Philadelphia
1189,New York (State),England
1193,England,Philadelphia
1195,Scotland,Philadelphia
1209,France,Philadelphia
1210,Philadelphia,France
1216,Philadelphia,France
1227,New York (State),Philadelphia
1228,Philadelphia,Italy
1254,Philadelphia,Rhode Island
1260,Philadelphia,Rhode Island
1261,Philadelphia,Rhode Island
1269,England,England
1272,Philadelphia,Rhode Island
1274,Susquehanna County,Philadelphia
1276,Philadelphia,Philadelphia
1279,Washington (D.C.),Philadelphia
1284,New York (State),England
1285,New York (State),England
1290,New York (State),England
1295,Susquehanna County,Philadelphia
1296,Susquehanna County,Philadelphia
1312,Italy,Philadelphia
1316,England,Philadelphia
1318,Italy,Philadelphia
1321,England,Italy
1323,Rhode Island,Philadelphia
1326,Switzerland,Philadelphia
1339,Washington (D.C.),Philadelphia
1342,Philadelphia,Philadelphia
1351,Washington (D.C.),Philadelphia
1352,Washington (D.C.),Philadelphia
1360,Maine,Philadelphia
1363,Philadelphia,Rhode Island
1366,Susquehanna County,Rhode Island
1369,Philadelphia,Rhode Island
1374,Philadelphia,Rhode Island
1381,Philadelphia,New York (State)
1389,France,Philadelphia
1391,Italy,Philadelphia
1392,Philadelphia,New Jersey
1393,Philadelphia,New Jersey
1395,Philadelphia,Susquehanna County
1402,Switzerland,Susquehanna County
1448,New York (State),Rhode Island
1460,Rhode Island,Philadelphia
1461,Susquehanna County,Rhode Island
1474,Philadelphia,Susquehanna County
1478,Rhode Island,Philadelphia
1480,Rhode Island,Philadelphia
1481,Rhode Island,Philadelphia
1482,Rhode Island,Philadelphia
1483,Rhode Island,Maryland
1484,Rhode Island,Maryland
1486,Philadelphia,Rhode Island
1496,Rhode Island,Philadelphia
1497,Rhode Island,Philadelphia
1498,Rhode Island,Philadelphia
1501,Rhode Island,Philadelphia
1502,Philadelphia,Rhode Island
1503,Rhode Island,Philadelphia
1505,Rhode Island,Philadelphia
1508,Rhode Island,Philadelphia
1509,Rhode Island,Philadelphia
1510,Rhode Island,Philadelphia
1511,Rhode Island,Philadelphia
1512,Rhode Island,Philadelphia
1513,Rhode Island,Philadelphia
1514,Rhode Island,Philadelphia
1516,Philadelphia,Rhode Island
